evaluated_session,train_start,baseline_loss_SPY,model_loss_SPY,train_end,train_sessions,train_rows,evaluation_rows,alpha,baseline_loss,model_loss,baseline_rmse,model_rmse,model_within_spread,baseline_within_spread,learned_coverage
2023-08-28,2023-01-04,8.09638554465312e-06,3.4527331467804847e-06,2023-08-23,91,9558,99,1.0,8.09638554465312e-06,3.4527331467804847e-06,0.002845414828219801,0.0018581531548234889,0.2727272727272727,0.12121212121212122,1.0
2023-08-30,2023-01-04,6.365882248756716e-06,5.123815630442626e-06,2023-08-25,92,9669,98,1.0,6.365882248756716e-06,5.123815630442626e-06,0.0025230700047277157,0.0022635846859445363,0.21428571428571427,0.1326530612244898,1.0
2023-09-01,2023-01-04,9.042730225836437e-06,8.509054859726212e-06,2023-08-28,93,9768,96,1.0,9.042730225836437e-06,8.509054859726212e-06,0.0030071132712015418,0.002917028429708256,0.13541666666666666,0.08333333333333333,1.0
2023-09-06,2023-01-04,1.2608397255873767e-05,8.271470018870518e-06,2023-08-30,94,9866,80,1.0,1.2608397255873767e-05,8.271470018870518e-06,0.003550830502273203,0.0028760163453761035,0.05,0.0375,1.0
2023-09-08,2023-01-04,7.1101469731734545e-06,5.763133849781453e-06,2023-09-01,95,9962,105,100.0,7.1101469731734545e-06,5.763133849781453e-06,0.002666485884675457,0.002400652796591263,0.19047619047619047,0.11428571428571428,1.0
2023-09-11,2023-01-04,1.0454817878866876e-05,9.601269296024076e-06,2023-09-06,96,10042,69,1.0,1.0454817878866876e-05,9.601269296024076e-06,0.003233391080408752,0.003098591501960863,0.08695652173913043,0.08695652173913043,1.0
2023-09-13,2023-01-04,1.4981800038174556e-05,1.0073449080729892e-05,2023-09-08,97,10147,90,1.0,1.4981800038174556e-05,1.0073449080729892e-05,0.003870633028094314,0.0031738697327914848,0.07777777777777778,0.08888888888888889,1.0
2023-09-15,2023-01-04,1.1651367034267515e-05,6.454451769280593e-06,2023-09-11,98,10216,111,0.01,1.1651367034267515e-05,6.454451769280593e-06,0.0034134098837185546,0.002540561309884214,0.009009009009009009,0.009009009009009009,1.0
2023-09-18,2023-01-04,1.2031664399753307e-05,6.834662266650678e-06,2023-09-13,99,10306,97,100.0,1.2031664399753307e-05,6.834662266650678e-06,0.003468668966585498,0.0026143187002832455,0.030927835051546393,0.020618556701030927,1.0
2023-09-20,2023-01-04,1.3927368335467169e-05,5.420490652030904e-06,2023-09-15,100,10417,101,100.0,1.3927368335467169e-05,5.420490652030904e-06,0.003731938951197778,0.0023281947195264627,0.07920792079207921,0.0,1.0
2023-09-22,2023-01-04,1.4909608623825592e-05,5.028507417424021e-06,2023-09-18,101,10514,119,100.0,1.4909608623825592e-05,5.028507417424021e-06,0.0038612962362172616,0.0022424333696732263,0.058823529411764705,0.0,1.0
2023-09-25,2023-01-04,1.462378006371569e-05,4.704001598132568e-06,2023-09-20,102,10615,106,100.0,1.462378006371569e-05,4.704001598132568e-06,0.0038241051324088477,0.002168871042301171,0.04716981132075472,0.0,1.0
2023-09-27,2023-01-04,1.918359034032236e-05,5.970075813419688e-06,2023-09-22,103,10734,104,0.01,1.918359034032236e-05,5.970075813419688e-06,0.0043799075721209415,0.002443373858708423,0.07692307692307693,0.0,1.0
2023-09-29,2023-01-04,1.3458083633882003e-05,3.8635902623856916e-06,2023-09-25,104,10840,118,0.01,1.3458083633882003e-05,3.8635902623856916e-06,0.0036685260846669745,0.0019656017557953317,0.3220338983050847,0.2033898305084746,1.0
2023-10-02,2023-01-04,1.3139393376098125e-05,3.715152531762424e-06,2023-09-27,105,10944,113,1.0,1.3139393376098125e-05,3.715152531762424e-06,0.0036248301168603923,0.0019274730949516324,0.05309734513274336,0.0,1.0
2023-10-04,2023-01-04,1.5956689326926253e-05,4.06266642223755e-06,2023-09-29,106,11062,106,1.0,1.5956689326926253e-05,4.06266642223755e-06,0.003994582497198707,0.0020156057209279672,0.03773584905660377,0.0,1.0
2023-10-06,2023-01-04,1.207418709662831e-05,3.4862789659281116e-06,2023-10-02,107,11175,116,1.0,1.207418709662831e-05,3.4862789659281116e-06,0.003474793101269241,0.0018671579916890032,0.0603448275862069,0.0,1.0
