evaluated_session,train_start,baseline_loss_AAPL,model_loss_AAPL,q_effective_AAPL,train_end,train_sessions,train_rows,evaluation_rows,alpha,baseline_loss,model_loss,baseline_mse,model_mse,baseline_rmse,model_rmse,rho,d,r_effective,model_within_spread,baseline_within_spread,learned_coverage,baseline_loss_SPY,model_loss_SPY,q_effective_SPY
2020-11-16,2020-01-08,1.3298195785683598e-06,2.0299637180679887e-06,0.006770920677511319,2020-11-11,120,11060,37,100.0,1.3298195785683598e-06,2.0299637180679887e-06,1.3298195785683598e-06,2.0299637180679887e-06,0.001153178034203028,0.0014247679523585546,-0.23551430056784328,-7.00144139499629e-07,0.0008995952428360932,0.13513513513513514,0.2972972972972973,1.0,,,
2020-11-18,2020-01-08,4.644660364849287e-07,8.805244377512355e-07,0.006763548035848897,2020-11-13,121,11168,36,100.0,4.87387410183469e-07,8.298587603669748e-07,4.87387410183469e-07,8.298587603669748e-07,0.0006981313702903409,0.0009109658392974869,-0.30486306455278145,-3.424713501835058e-07,0.0008995952428360932,0.3888888888888889,0.5833333333333334,1.0,6.019942786761695e-07,5.765303734456705e-07,0.01575347179856913
2020-11-20,2020-01-08,2.953799669986999e-07,1.2808932318572484e-06,0.006806304787592718,2020-11-16,122,11266,88,100.0,6.707756602965486e-07,1.6029506599177087e-06,6.707756602965486e-07,1.6029506599177087e-06,0.0008190089500710896,0.0012660768775701217,-0.5458645201132746,-9.321749996211602e-07,0.0006997551142733422,0.18181818181818182,0.4318181818181818,1.0,5.0146401113145115e-06,5.329615184617321e-06,0.015878520319749567
2020-11-23,2020-01-08,7.765647647878458e-07,1.2738902445697743e-06,0.0068817112664053175,2020-11-18,123,11348,62,100.0,1.18679969727812e-06,1.4854257495345001e-06,1.18679969727812e-06,1.4854257495345001e-06,0.0010894033675724157,0.0012187804353264373,-0.11875956289938805,-2.986260522563802e-07,0.0006997551142733422,0.20967741935483872,0.43548387096774194,1.0,5.863477927667241e-06,3.8969305061323746e-06,0.0159880027017139
2020-11-25,2020-01-08,1.15561979061318e-07,3.2179091463898356e-07,0.0070113744898845165,2020-11-20,124,11493,34,100.0,1.214754870973583e-07,3.012395888960717e-07,1.214754870973583e-07,3.012395888960717e-07,0.0003485333371391585,0.0005488529756647692,-0.5747502955380974,-1.7976410179871341e-07,0.0008995952428360931,0.4411764705882353,0.6764705882352942,1.0,1.6582679736766076e-07,1.4710464582423278e-07,0.01564070535763449
2020-11-27,2020-01-08,3.622468738345849e-07,5.096412660123003e-07,0.006959407049900888,2020-11-23,125,11638,74,100.0,3.650719534464532e-07,5.043049091841963e-07,3.650719534464532e-07,5.043049091841963e-07,0.0006042118448412387,0.0007101442875811903,-0.17532334667782967,-1.3923295573774313e-07,0.0008995952428360928,0.4189189189189189,0.40540540540540543,1.0,3.9708952238096125e-07,4.438261984656818e-07,0.015664856890751668
2020-11-30,2020-01-08,1.5876439018056624e-05,1.268952883550989e-05,0.006925979929668067,2020-11-25,126,11718,29,100.0,1.3955674742700983e-05,1.1172761786271585e-05,1.3955674742700983e-05,1.1172761786271585e-05,0.0037357294793254215,0.003342568142352761,0.10524352449729735,2.7829129564293983e-06,0.0008995952428360934,0.3448275862068966,0.3448275862068966,1.0,1.9508980217282325e-06,1.6929677285321895e-06,0.015621351774960815
2020-12-02,2020-01-08,3.951809546471092e-06,3.695223924626642e-06,0.006580019556714472,2020-11-27,127,11859,34,100.0,3.6632651090778344e-06,3.423802096977499e-06,3.6632651090778344e-06,3.423802096977499e-06,0.0019139658066637017,0.0018503518846364059,0.0332367076808876,2.3946301210033536e-07,0.0008995952428360931,0.11764705882352941,0.17647058823529413,1.0,1.4991818286283906e-06,1.3881383896089327e-06,0.015521056226435714
2020-12-04,2020-01-08,4.870540302571499e-07,8.230755288291078e-07,0.006568244672197821,2020-11-30,128,11926,25,0.01,4.870540302571499e-07,8.230755288291078e-07,4.870540302571499e-07,8.230755288291078e-07,0.0006978925635491109,0.0009072351011888307,-0.2999638462618299,-3.3602149857195793e-07,0.0007996801705643321,0.4,0.48,1.0,,,
2020-12-07,2020-01-08,1.2717788080572728e-06,1.4591582740959476e-06,0.006605316973415132,2020-12-02,129,12014,49,0.01,9.467148161681407e-07,8.69550630432331e-07,9.467148161681407e-07,8.69550630432331e-07,0.0009729927112615699,0.0009324969868221189,0.041619761351495366,7.716418573580976e-08,0.000899595242836093,0.5510204081632653,0.5714285714285714,1.0,5.792511731630351e-07,2.030376419430251e-07,0.015360327159659312
