evaluated_session,train_start,baseline_loss_AAPL,model_loss_AAPL,q_effective_AAPL,baseline_loss_SPY,model_loss_SPY,q_effective_SPY,train_end,train_sessions,train_rows,evaluation_rows,alpha,baseline_loss,model_loss,baseline_mse,model_mse,baseline_rmse,model_rmse,rho,d,r_effective,model_within_spread,baseline_within_spread,learned_coverage
2020-11-16,2019-05-10,0.07084633642986678,0.0009015816763164441,0.006770920677511319,,,,2020-11-11,130,24663,107,0.01,0.07084633642986678,0.0009015816763164441,0.07084633642986678,0.0009015816763164441,0.2661697511549101,0.030026349700162425,0.8871909765483187,0.06994475475355033,0.0008995952428360928,0.037383177570093455,0.0,1.0
2020-11-18,2019-05-10,0.07347966838206352,0.000852298562872304,0.0067635480358489,1.0161345027589717e-05,1.8231373355282063e-05,0.01575347179856913,2020-11-13,131,24866,209,0.01,0.04113902413609554,0.0004851493694006963,0.04113902413609554,0.0004851493694006963,0.20282757242568264,0.022026106542026358,0.8914047716559992,0.040653874766694846,0.0008995952428360929,0.0430622009569378,0.014354066985645933,1.0
2020-11-20,2019-05-10,0.07383587931156191,0.0008835108733435375,0.006806304787592717,1.0441567285273509e-05,1.8791197940744674e-05,0.015878520319749567,2020-11-16,132,24973,208,0.01,0.03763302041773394,0.0004594656479056295,0.03763302041773394,0.0004594656479056295,0.19399232051226653,0.021435149822327564,0.8895051630614822,0.03717355476982831,0.0006997551142733422,0.014423076923076924,0.0,1.0
2020-11-23,2019-05-10,0.06634096554978766,0.0007118240584872888,0.0068817112664053175,9.536055171736935e-06,1.9918897181244033e-05,0.0159880027017139,2020-11-18,133,25182,213,0.01,0.0351994493551323,0.00038698595458773726,0.0351994493551323,0.00038698595458773726,0.18761516291369496,0.019671958585451964,0.8951472883111197,0.034812463400544565,0.0006997551142733421,0.03286384976525822,0.009389671361502348,1.0
2020-11-25,2019-05-10,0.00012669557616452713,2.9595000875373616e-05,0.00701137448988452,9.767696664733116e-06,2.1982509518595034e-05,0.015640705357634486,2020-11-20,134,25390,212,0.01,6.933472961745837e-05,2.586057115318035e-05,6.933472961745837e-05,2.586057115318035e-05,0.00832674784159208,0.005085329011301073,0.3892778899944741,4.347415846427802e-05,0.0008995952428360928,0.08962264150943396,0.03773584905660377,1.0
2020-11-27,2019-05-10,0.0001018751646095316,2.9916671502276316e-05,0.006959407049900888,9.272179704896822e-06,2.337753313534382e-05,0.015664856890751665,2020-11-23,135,25603,199,0.01,5.813305113699054e-05,2.6827832273675032e-05,5.813305113699054e-05,2.6827832273675032e-05,0.007624503337069932,0.0051795590810101814,0.32066931417979205,3.1305218863315505e-05,0.0008995952428360928,0.09045226130653267,0.05527638190954774,1.0
2020-11-30,2019-05-10,5.628995496160409e-05,2.1753047397957117e-05,0.00692597992966807,1.0716052574632409e-05,1.9762040223809155e-05,0.015621351774960818,2020-11-25,136,25815,161,0.01,2.37371675423386e-05,2.033089941642286e-05,2.37371675423386e-05,2.033089941642286e-05,0.004872080412137981,0.004508979864273388,0.07452679700441478,3.406268125915741e-06,0.0008995952428360929,0.2360248447204969,0.19875776397515527,1.0
2020-12-02,2019-05-10,2.8140946619048428e-05,1.2377099040586225e-05,0.0065800195567144735,6.050660173919715e-06,1.6845057827377176e-05,0.01552105622643571,2020-11-27,137,26014,216,100.0,1.7402612930444196e-05,1.454902345083183e-05,1.7402612930444196e-05,1.454902345083183e-05,0.004171643912229829,0.0038143182157276585,0.08565584791516223,2.8535894796123664e-06,0.000899595242836093,0.10648148148148148,0.0787037037037037,1.0
2020-12-04,2019-05-10,2.3347007394693594e-05,1.8066063768894258e-05,0.006568244672197823,1.0705121479658911e-05,2.617852434679581e-05,0.015492696828383652,2020-11-30,138,26175,185,100.0,1.699189717794643e-05,2.21442196269745e-05,1.699189717794643e-05,2.21442196269745e-05,0.004122122896996938,0.004705764510361149,-0.14158763043901645,-5.152322449028071e-06,0.0007996801705643323,0.15135135135135136,0.13513513513513514,1.0
2020-12-07,2019-05-10,1.3274087622609582e-05,1.8037745012541317e-05,0.006605316973415133,6.844806979017401e-06,2.1866817951598502e-05,0.015360327159659327,2020-12-02,139,26391,193,100.0,1.010941580322483e-05,1.9922521847828533e-05,1.010941580322483e-05,1.9922521847828533e-05,0.003179530752048929,0.004463465228701635,-0.40381256757001704,-9.813106044603704e-06,0.0008995952428360929,0.15544041450777202,0.17616580310880828,1.0
2020-12-09,2019-05-10,5.256672334069878e-06,1.0760957785295992e-05,0.00649220131853996,6.2014128631682455e-06,1.5787270207964808e-05,0.015347048653321444,2020-12-04,140,26576,196,100.0,5.738682808099658e-06,1.3325402898902528e-05,5.738682808099658e-06,1.3325402898902528e-05,0.002395554801731669,0.003650397635724433,-0.5238213849608777,-7.58672009080287e-06,0.0008995952428360928,0.2857142857142857,0.27040816326530615,1.0
