evaluated_session,train_start,baseline_loss_AAPL,model_loss_AAPL,baseline_loss_SPY,model_loss_SPY,train_end,train_sessions,train_rows,evaluation_rows,alpha,baseline_loss,model_loss,baseline_rmse,model_rmse,model_within_spread,baseline_within_spread,learned_coverage
2020-10-23,2019-05-10,0.06224732843449517,0.00036761411022031426,4.290541842008742e-05,9.26923656347591e-06,2020-10-19,120,23519,247,0.01,0.0335375947347682,0.00020222416853254272,0.18313272436888006,0.014220554438296094,0.020242914979757085,0.004048582995951417,1.0
2020-10-26,2019-05-10,0.0539932782609742,0.0002505908247533031,6.076916586194789e-05,1.7049115471677717e-05,2020-10-21,121,23780,277,0.01,0.026929672613968413,0.0001333984146805741,0.1641026282969545,0.011549823144991186,0.10830324909747292,0.05776173285198556,1.0
2020-10-28,2019-05-10,0.062442394944809396,0.00022399449563279743,0.00014259171588996655,7.054396197446625e-05,2020-10-23,122,24027,240,0.01,0.026620008088180724,0.000135760438779257,0.16315639150269512,0.011651628160015106,0.15833333333333333,0.0625,1.0
2020-10-30,2019-05-10,0.05864791384988004,0.000316052273978894,0.00010584373863336339,4.584411158842866e-05,2020-10-26,123,24304,238,1.0,0.02642517778024426,0.00016732425182279753,0.1625582288912015,0.012935387579148819,0.08403361344537816,0.04201680672268908,1.0
2020-11-02,2019-05-10,0.055582870203789075,0.00030527979376196587,7.572117751744915e-05,2.6832706275024196e-05,2020-10-28,124,24544,244,1.0,0.024644459271113087,0.00015007977778563772,0.1569855384139351,0.012250705195442331,0.06557377049180328,0.02459016393442623,1.0
2020-11-04,2019-05-10,0.06214656348428005,0.0005279250718481991,2.3728914925704453e-05,5.110559986691138e-06,2020-10-30,125,24782,239,1.0,0.027836043973172204,0.0002391739606945629,0.16684137368522295,0.015465250101261308,0.14644351464435146,0.100418410041841,1.0
2020-11-06,2019-05-10,0.06202322586419771,0.0006567632633474536,1.078566227494885e-05,6.903524642474425e-06,2020-11-02,126,25026,243,1.0,0.029358236786641685,0.000314450314564584,0.1713424547117313,0.017732746954845547,0.12345679012345678,0.06172839506172839,1.0
2020-11-09,2019-05-10,0.04855284532575967,0.0004118874915934951,9.451157180046053e-06,6.980257592913927e-06,2020-11-04,127,25265,196,1.0,0.017594048024369608,0.00015365583725638975,0.13264255736515942,0.012395799177801719,0.2602040816326531,0.1326530612244898,1.0
2020-11-11,2019-05-10,0.07516260230431734,0.0008240080016174107,8.410194126540881e-06,1.2611201019941819e-05,2020-11-06,128,25508,238,1.0,0.038532827998510065,0.00042853729208251,0.19629780436497518,0.020701142289316066,0.1092436974789916,0.07563025210084033,1.0
2020-11-13,2019-05-10,0.07571720231788541,0.000863795626461024,1.4372499918683807e-05,1.7598850642756026e-05,2020-11-09,129,25704,221,1.0,0.03803706077953093,0.0004426117108953702,0.19503092262390323,0.021038339071689338,0.03619909502262444,0.03167420814479638,1.0
2020-11-16,2019-05-10,0.06739559635361216,0.0007780013986039254,,,2020-11-11,130,25942,115,0.01,0.06739559635361216,0.0007780013986039254,0.2596066184703544,0.02789267643314147,0.0,0.0,1.0
2020-11-18,2019-05-10,0.07302426522094987,0.0008102776732285473,1.427527379501971e-05,1.452998179132734e-05,2020-11-13,131,26163,222,0.01,0.03849251321891717,0.00043391052187310536,0.19619508969114688,0.02083051900153007,0.036036036036036036,0.04054054054054054,1.0
2020-11-20,2019-05-10,0.0707379894775585,0.0008078602619876803,2.8934833670146067e-05,2.333679823279899e-05,2020-11-16,132,26278,214,0.01,0.03703554287159302,0.00043392851758114806,0.1924462077350266,0.020830950952396485,0.014018691588785047,0.0,1.0
