date,act_symbol,open,high,low,close
2018-12-14,AAPL,169.0000,169.0800,165.2800,165.4800
2018-12-17,AAPL,165.4200,168.3500,162.7300,163.9400
2018-12-18,AAPL,165.4900,167.5300,164.3900,166.0700
2018-12-19,AAPL,166.0000,167.4500,159.0900,160.8900
2018-12-20,AAPL,160.1900,162.1100,155.3000,156.8300
2018-12-21,AAPL,155.8500,158.1600,149.6300,150.7300
2018-12-24,AAPL,148.1500,151.5500,146.5900,146.8300
2018-12-26,AAPL,148.2000,157.2300,146.7200,157.1700
2018-12-27,AAPL,156.1300,156.7700,150.0700,157.1700
2018-12-28,AAPL,157.4800,158.5200,154.5500,156.2300
2018-12-31,AAPL,158.5300,159.3600,156.4800,157.7400
2019-01-02,AAPL,154.8000,158.8500,154.2300,157.9200
2019-01-03,AAPL,144.0100,145.7200,142.0000,142.1900
2019-01-04,AAPL,144.5000,148.5500,143.8000,148.2600
2019-01-07,AAPL,148.7000,148.8300,145.9000,147.9300
2019-01-08,AAPL,149.7400,151.8200,148.5200,150.7500
2019-01-09,AAPL,151.4000,154.5300,149.6300,153.3100
2019-01-10,AAPL,152.3200,153.9700,150.8600,153.8000
2019-01-11,AAPL,152.9100,153.7000,151.5100,152.2900
2019-01-14,AAPL,150.8500,151.2700,149.2200,150.0000
2019-01-15,AAPL,150.2800,153.3900,150.0500,153.0700
2019-01-16,AAPL,153.0500,155.8800,153.0000,154.9400
2019-01-17,AAPL,154.2200,157.6600,153.2600,155.8600
2019-01-18,AAPL,157.6000,157.8800,155.9810,156.8200
2019-01-22,AAPL,156.5900,156.7300,152.6200,153.3000
2019-01-23,AAPL,154.0300,155.1400,151.7000,153.9200
2019-01-24,AAPL,153.8000,154.4800,151.7400,152.7000
2019-01-25,AAPL,155.4800,158.1300,154.3200,157.7600
2019-01-28,AAPL,155.8400,156.3300,153.6600,156.3000
2019-01-29,AAPL,156.2100,158.1300,154.1100,154.6800
2019-01-30,AAPL,163.2200,166.1500,160.2300,165.2500
2019-01-31,AAPL,166.1400,169.0000,164.5600,166.4400
2019-02-01,AAPL,167.0100,168.9800,165.9300,166.5200
2019-02-04,AAPL,167.4800,171.6550,167.2800,171.2500
2019-02-05,AAPL,172.9300,175.0800,172.3500,174.1800
2019-02-06,AAPL,174.8000,175.5700,172.8530,174.2400
2019-02-07,AAPL,172.3200,173.9400,170.3400,170.9400
2019-02-08,AAPL,168.9900,170.6600,168.4200,170.4100
2019-02-11,AAPL,171.1000,171.2100,169.2500,169.4300
2019-02-12,AAPL,170.1000,171.0000,169.7000,170.8900
2019-02-13,AAPL,171.3200,172.4800,169.9200,170.1800
2019-02-14,AAPL,169.8500,171.2620,169.3800,170.1800
