evaluated_session,train_start,baseline_loss_AAPL,model_loss_AAPL,q_effective_AAPL,baseline_loss_SPY,model_loss_SPY,q_effective_SPY,train_end,train_sessions,train_rows,evaluation_rows,alpha,baseline_loss,model_loss,baseline_mse,model_mse,baseline_rmse,model_rmse,rho,d,r_effective,model_within_spread,baseline_within_spread,learned_coverage
2020-10-23,2019-05-10,0.062624780776265,0.0003272042202133022,0.006868250539956802,3.416362806770983e-05,2.722655324944056e-06,0.016485351556832367,2020-10-19,120,22383,247,0.01,0.033736803630943175,0.0001774434979571369,0.033736803630943175,0.0001774434979571369,0.18367581122984913,0.013320791941815506,0.9274766129920827,0.033559360132986035,0.0008995952428360928,0.0728744939271255,0.008097165991902834,1.0
2020-10-26,2019-05-10,0.054287520407789655,0.0002191388069878832,0.006910639777468705,7.278925447477777e-05,1.4583478581906336e-05,0.0164295708253803,2020-10-21,121,22627,258,0.01,0.02907136638299204,0.00012399679377580095,0.02907136638299204,0.00012399679377580095,0.17050327381898578,0.011135384761013018,0.9346910794637594,0.02894736958921624,0.0009995003330835331,0.06976744186046512,0.023255813953488372,1.0
2020-10-28,2019-05-10,0.06326526299691053,0.00019732220137729794,0.0068181818181818205,0.00016885148096611448,7.021767085962189e-05,0.01679680976878955,2020-10-23,122,22874,223,0.01,0.02874614997025036,0.00012778519365013884,0.02874614997025036,0.00012778519365013884,0.16954689607966983,0.011304211323667778,0.933326934405476,0.028618364776600222,0.0009995003330835334,0.12556053811659193,0.04035874439461883,1.0
2020-10-30,2019-05-10,0.05966217407350439,0.0003051620405944171,0.00689386056191467,0.0001309919336518006,3.9895208280419736e-05,0.017216246439178125,2020-10-26,123,23132,221,0.01,0.028415037746703935,0.00016592696118978493,0.028415037746703935,0.00016592696118978493,0.16856760586394984,0.012881263959324214,0.923583989383342,0.02824911078551415,0.0008995952428360927,0.03167420814479638,0.027149321266968326,1.0
2020-11-02,2019-05-10,0.05586196291063265,0.00029211064224292073,0.0073029579276134475,7.893352277416049e-05,1.7102025106679834e-05,0.017397614381086543,2020-10-28,124,23355,237,0.01,0.025499048180532453,0.00014242240759914407,0.025499048180532453,0.00014242240759914407,0.15968421393654555,0.011934085955746425,0.9252644600142583,0.02535662577293331,0.0008995952428360929,0.11814345991561181,0.046413502109704644,1.0
2020-11-04,2019-05-10,0.06249258061762882,0.0005040510487416164,0.007198478812024627,2.764345839445572e-05,5.6392388416736105e-06,0.016906279201261785,2020-10-30,125,23576,222,0.01,0.030134617674782187,0.00024586475082047485,0.030134617674782187,0.00024586475082047485,0.1735932535405169,0.015680074962208402,0.9096734772670837,0.029888752923961714,0.0009995003330835331,0.07657657657657657,0.06756756756756757,1.0
2020-11-06,2019-05-10,0.06319507680273799,0.0006440781237957858,0.006678988490296563,1.4844614153044749e-05,1.0380457885235418e-05,0.016220354613978978,2020-11-02,126,23813,222,0.01,0.032174151989423756,0.0003329382788216868,0.032174151989423756,0.0003329382788216868,0.17937154732404959,0.01824659636265588,0.8982748566600036,0.03184121371060207,0.0009995003330835331,0.05405405405405406,0.036036036036036036,1.0
2020-11-09,2019-05-10,0.04935791331781415,0.0004187221027500187,0.006803437526329095,1.3701649470641296e-05,9.949434772964358e-06,0.016224060429517934,2020-11-04,127,24035,182,0.01,0.01899224459883353,0.00016716969168721605,0.01899224459883353,0.00016716969168721605,0.13781235285283222,0.012929411884815799,0.9061810380770225,0.018825074907146314,0.0009995003330835331,0.17582417582417584,0.04395604395604396,1.0
2020-11-11,2019-05-10,0.07676157357488987,0.000832076224600018,0.006963007674398551,1.226925526874067e-05,1.5662538836111926e-05,0.016046257485029938,2020-11-06,128,24257,224,0.01,0.04078533717506748,0.00044938230939818694,0.04078533717506748,0.00044938230939818694,0.2019537996054233,0.021198639328933046,0.8950322332615139,0.04033595486566929,0.0009995003330835331,0.044642857142857144,0.03125,1.0
2020-11-13,2019-05-10,0.07622944053727855,0.0008528831211779991,0.006773760590554482,1.1474751285650039e-05,2.7672301900634116e-05,0.01608396421392372,2020-11-09,129,24439,203,1.0,0.04168730825988275,0.0004788959518503264,0.04168730825988275,0.0004788959518503264,0.20417470034233612,0.021883691458488588,0.8928187898804475,0.04120841230803242,0.0009995003330835334,0.054187192118226604,0.019704433497536946,1.0
2020-11-16,2019-05-10,0.07084633642986678,0.0008285891468401865,0.006770920677511319,,,,2020-11-11,130,24663,107,100.0,0.07084633642986678,0.0008285891468401865,0.07084633642986678,0.0008285891468401865,0.2661697511549101,0.028785224453531478,0.8918538852419088,0.0700177472830266,0.0008995952428360928,0.0,0.0,1.0
2020-11-18,2019-05-10,0.07347966838206352,0.0007932108288001056,0.0067635480358489,1.0161345027589717e-05,1.6515406882110778e-05,0.01575347179856913,2020-11-13,131,24866,209,100.0,0.04113902413609554,0.00045131619331467254,0.04113902413609554,0.00045131619331467254,0.20282757242568264,0.02124420375807652,0.895259783943524,0.04068770794278087,0.0008995952428360929,0.06698564593301436,0.014354066985645933,1.0
2020-11-20,2019-05-10,0.07383587931156191,0.0008245223502678826,0.006806304787592717,1.0441567285273509e-05,1.8787608886830717e-05,0.015878520319749567,2020-11-16,132,24973,208,100.0,0.03763302041773394,0.00042940242901371285,0.03763302041773394,0.00042940242901371285,0.19399232051226653,0.020722027627954578,0.8931811961770709,0.037203617988720225,0.0006997551142733422,0.009615384615384616,0.0,1.0
2020-11-23,2019-05-10,0.06634096554978766,0.0006708060995862761,0.0068817112664053175,9.536055171736935e-06,1.8403569950525438e-05,0.0159880027017139,2020-11-18,133,25182,213,100.0,0.0351994493551323,0.00036451383215165136,0.0351994493551323,0.00036451383215165136,0.18761516291369496,0.019092245340756844,0.8982371944556555,0.03483493552298065,0.0006997551142733421,0.056338028169014086,0.009389671361502348,1.0
