evaluated_session,train_start,baseline_loss_AAPL,model_loss_AAPL,q_effective_AAPL,baseline_loss_SPY,model_loss_SPY,q_effective_SPY,train_end,train_sessions,train_rows,evaluation_rows,alpha,baseline_loss,model_loss,baseline_mse,model_mse,baseline_rmse,model_rmse,rho,d,r_effective,model_within_spread,baseline_within_spread,learned_coverage
2020-10-23,2019-05-10,0.06224732843449517,0.0003792296443064352,0.005,4.290541842008742e-05,8.956689175924478e-06,0.014000000000000005,2020-10-19,120,22383,247,0.01,0.0335375947347682,0.00020833443424619948,0.0335375947347682,0.00020833443424619948,0.18313272436888006,0.014433794866430639,0.9211839668951958,0.033329260300522,0.039999999999999994,0.024291497975708502,0.004048582995951417,1.0
2020-10-26,2019-05-10,0.0539932782609742,0.00026075980508650197,0.004999999999999999,6.991843682644047e-05,1.9685031378617876e-05,0.014000000000000005,2020-10-21,121,22627,258,0.01,0.028912645784626403,0.00014863200336190472,0.028912645784626403,0.00014863200336190472,0.17003718941639326,0.01219147256740976,0.9283011404196123,0.0287640137812645,0.04,0.06589147286821706,0.03875968992248062,1.0
2020-10-28,2019-05-10,0.0628660307973253,0.0002251308672267312,0.004999999999999999,0.0001611046470506856,8.011705134231298e-05,0.014000000000000005,2020-10-23,122,22874,223,0.01,0.028561093620941877,0.0001457959545007266,0.028561093620941877,0.0001457959545007266,0.16900027698480816,0.01207459955860759,0.9285527824330548,0.02841529766644115,0.039999999999999994,0.09865470852017937,0.004484304932735426,1.0
2020-10-30,2019-05-10,0.059382317041229996,0.00032601419499360705,0.004999999999999999,0.00011654148600670201,5.074002234794636e-05,0.014000000000000005,2020-10-26,123,23132,221,1.0,0.028274489147990627,0.00018152639396692538,0.028274489147990627,0.00018152639396692538,0.16815019818005159,0.013473173121686123,0.9198741763761744,0.0280929627540237,0.04,0.04524886877828054,0.0,1.0
2020-11-02,2019-05-10,0.055582870203789075,0.00031073113378585356,0.004999999999999999,7.918458737391525e-05,2.7926265239092266e-05,0.014,2020-10-28,124,23355,237,1.0,0.02537200334928462,0.0001567993698933126,0.02537200334928462,0.0001567993698933126,0.15928591698353192,0.012521955513948793,0.9213869264082939,0.025215203979391306,0.04,0.05907172995780591,0.02531645569620253,1.0
2020-11-04,2019-05-10,0.06214656348428005,0.0005367351510820838,0.004999999999999999,2.682948878994998e-05,5.617308363681544e-06,0.014000000000000005,2020-10-30,125,23576,222,1.0,0.029967422000129765,0.0002616065388630917,0.029967422000129765,0.0002616065388630917,0.17311101062650452,0.016174255434581578,0.9065671480049393,0.029705815461266674,0.039999999999999994,0.0990990990990991,0.07207207207207207,1.0
2020-11-06,2019-05-10,0.06282980534340536,0.0006688674792281207,0.004999999999999999,1.2551647043524894e-05,7.647810389045135e-06,0.014000000000000004,2020-11-02,126,23813,222,1.0,0.031987099699696174,0.0003442145787620881,0.031987099699696174,0.0003442145787620881,0.17884937712974058,0.018553020744937684,0.8962645492945778,0.031642885120934085,0.039999999999999994,0.09009009009009009,0.018018018018018018,1.0
2020-11-09,2019-05-10,0.049062347455743116,0.0004243071835667511,0.005,1.0488840869086285e-05,7.417473196848439e-06,0.014000000000000004,2020-11-04,127,24035,182,1.0,0.018876588308128325,0.00016775966949296486,0.018876588308128325,0.00016775966949296486,0.1373920969638659,0.012952207128245165,0.9057281502031984,0.01870882863863536,0.039999999999999994,0.22527472527472528,0.08791208791208792,1.0
2020-11-11,2019-05-10,0.07627792014417616,0.0008373210346052296,0.005,9.076411980491614e-06,1.2707479219326689e-05,0.014000000000000004,2020-11-06,128,24257,224,1.0,0.040526899644709444,0.00045078343051808766,0.040526899644709444,0.00045078343051808766,0.20131293958588317,0.021231661040014924,0.8945340469237092,0.040076116214191354,0.039999999999999994,0.09821428571428571,0.05803571428571429,1.0
2020-11-13,2019-05-10,0.07571720231788541,0.0008722596070382956,0.004999999999999999,1.646252015334489e-05,1.9116870940363494e-05,0.014000000000000002,2020-11-09,129,24439,203,100.0,0.04140947787753394,0.00048561363796928203,0.04140947787753394,0.00048561363796928203,0.20349318877430256,0.02203664307396392,0.8917082030769831,0.04092386423956466,0.039999999999999994,0.034482758620689655,0.024630541871921183,1.0
